case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_06-49-45,10.959703333333332,10.960180000000001,4,1
2024-10-06_06-50-08,66.94628615384616,72.5161,32,8
2024-10-06_06-50-32,119.32086723076924,129.27210038461538,64,16
2024-10-06_06-50-55,175.1865485,175.18971608333334,96,24
2024-10-06_06-51-18,194.63702650000002,194.64899966666667,128,32
