case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-04_18-18-16,18.668747368421055,18.67235947368421,8,1
2024-10-04_18-18-41,145.8382787894737,145.8457032631579,96,12
2024-10-04_18-19-06,195.6715420526316,195.7342285263158,192,24
2024-10-04_18-19-31,195.8996227368421,196.21059515789474,256,32
