PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
1024,768,1048576,1,242344.59,7.94
1024,768,1048576,4,493341.00,16.17
1024,768,1048576,16,1875554.55,61.46
1024,896,1048576,1,255197.38,8.36
1024,896,1048576,4,1033490.43,33.87
1024,896,1048576,16,2065041.36,67.67
1024,1024,1048576,1,276977.51,9.08
1024,1024,1048576,4,1156144.66,37.88
1024,1024,1048576,16,2023939.15,66.32
2048,128,1048576,1,145569.72,9.54
2048,128,1048576,4,410092.86,26.88
2048,128,1048576,16,1993515.88,130.65
2048,256,1048576,1,21956.68,1.44
2048,256,1048576,4,86233.61,5.65
2048,256,1048576,16,645298.08,42.29
2048,384,1048576,1,49604.95,3.25
2048,384,1048576,4,194152.10,12.72
2048,384,1048576,16,778092.16,50.99
2048,512,1048576,1,70362.72,4.61
2048,512,1048576,4,234587.29,15.37
2048,512,1048576,16,1367956.18,89.65
2048,640,1048576,1,123031.81,8.06
2048,640,1048576,4,487672.24,31.96
2048,640,1048576,16,1413295.19,92.62
2048,768,1048576,1,136115.12,8.92
2048,768,1048576,4,468401.65,30.70
2048,768,1048576,16,1300543.91,85.23
2048,896,1048576,1,166388.38,10.90
2048,896,1048576,4,691342.97,45.31
2048,896,1048576,16,1506838.31,98.75
2048,1024,1048576,1,243432.65,15.95
2048,1024,1048576,4,808774.92,53.00
2048,1024,1048576,16,1455405.22,95.38
4096,128,1048576,1,209884.02,27.51
4096,128,1048576,4,604121.48,79.18
4096,128,1048576,16,1216761.12,159.48
4096,256,1048576,1,61920.92,8.12
4096,256,1048576,4,573392.66,75.16
4096,256,1048576,16,1080600.05,141.64
4096,384,1048576,1,54031.37,7.08
4096,384,1048576,4,121447.29,15.92
4096,384,1048576,16,974227.45,127.69
4096,512,1048576,1,115210.64,15.10
4096,512,1048576,4,208110.51,27.28
4096,512,1048576,16,792880.48,103.92
4096,640,1048576,1,146461.67,19.20
4096,640,1048576,4,518607.94,67.97
4096,640,1048576,16,707132.93,92.69
4096,768,1048576,1,154704.26,20.28
4096,768,1048576,4,645214.84,84.57
4096,768,1048576,16,658922.41,86.37
4096,896,1048576,1,164052.99,21.50
4096,896,1048576,4,614768.32,80.58
4096,896,1048576,16,676594.14,88.68
4096,1024,1048576,1,154437.80,20.24
4096,1024,1048576,4,637617.79,83.57
4096,1024,1048576,16,652400.10,85.51
8192,128,1048576,1,39901.75,10.46
8192,128,1048576,4,474761.11,124.46
8192,128,1048576,16,797008.72,208.93
8192,256,1048576,1,73891.87,19.37
8192,256,1048576,4,325701.41,85.38
8192,256,1048576,16,478002.44,125.31
8192,384,1048576,1,84662.45,22.19
8192,384,1048576,4,367845.39,96.43
8192,384,1048576,16,385488.51,101.05
8192,512,1048576,1,95703.01,25.09
8192,512,1048576,4,334632.06,87.72
8192,512,1048576,16,337667.77,88.52
8192,640,1048576,1,94433.19,24.76
8192,640,1048576,4,345622.56,90.60
8192,640,1048576,16,313902.18,82.29
8192,768,1048576,1,91923.66,24.10
8192,768,1048576,4,330902.95,86.74
8192,768,1048576,16,310137.58,81.30
8192,896,1048576,1,95985.64,25.16
8192,896,1048576,4,326659.87,85.63
8192,896,1048576,16,297187.29,77.91
8192,1024,1048576,1,101688.51,26.66
8192,1024,1048576,4,324720.52,85.12
8192,1024,1048576,16,286623.59,75.14
16384,128,1048576,1,58040.20,30.43
16384,128,1048576,4,263210.56,138.00
16384,128,1048576,16,258697.11,135.63
16384,256,1048576,1,74238.12,38.92
16384,256,1048576,4,209339.42,109.75
16384,256,1048576,16,N/A,N/A
16384,384,1048576,1,54297.31,28.47
16384,384,1048576,4,206728.26,108.39
16384,384,1048576,16,171173.70,89.74
16384,512,1048576,1,59409.44,31.15
16384,512,1048576,4,153371.91,80.41
16384,512,1048576,16,166595.02,87.34
16384,640,1048576,1,63703.80,33.40
16384,640,1048576,4,158034.17,82.86
16384,640,1048576,16,160145.74,83.96
16384,768,1048576,1,N/A,N/A
16384,768,1048576,4,159340.45,83.54
16384,768,1048576,16,154612.91,81.06
16384,896,1048576,1,62769.76,32.91
16384,896,1048576,4,169473.70,88.85
16384,896,1048576,16,145960.98,76.53
16384,1024,1048576,1,54875.82,28.77
16384,1024,1048576,4,143228.44,75.09
