PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
32,1024,1048576,8,3723091.91,3.81
32,1024,1048576,16,4926714.08,5.04
32,1024,1048576,32,7072617.35,7.24
32,1024,1048576,64,9206493.19,9.43
32,1024,1048576,128,10261884.47,10.51
32,1024,1048576,256,7509249.37,7.69
64,128,1048576,1,103164.75,0.21
64,128,1048576,2,181307.55,0.37
64,128,1048576,4,308568.52,0.63
64,128,1048576,8,440413.05,0.90
64,128,1048576,16,477155.33,0.98
64,128,1048576,32,864627.83,1.77
64,128,1048576,64,1186526.48,2.43
64,128,1048576,128,1475028.36,3.02
64,128,1048576,256,1362319.58,2.79
64,256,1048576,1,195915.42,0.40
64,256,1048576,2,358206.08,0.73
64,256,1048576,4,394764.69,0.81
64,256,1048576,8,554759.64,1.14
64,256,1048576,16,697337.23,1.43
64,256,1048576,32,1129761.11,2.31
64,256,1048576,64,1484425.00,3.04
64,256,1048576,128,1078819.42,2.21
64,256,1048576,256,1331621.09,2.73
64,384,1048576,1,93874.34,0.19
64,384,1048576,2,318690.92,0.65
64,384,1048576,4,398044.20,0.82
64,384,1048576,8,223705.86,0.46
64,384,1048576,16,1602132.33,3.28
64,384,1048576,32,997572.58,2.04
64,384,1048576,64,876615.10,1.80
64,384,1048576,128,1187133.79,2.43
64,384,1048576,256,1663753.86,3.41
64,512,1048576,1,522206.28,1.07
64,512,1048576,2,988061.42,2.02
64,512,1048576,4,1691259.57,3.46
64,512,1048576,8,2744035.34,5.62
64,512,1048576,16,5195106.24,10.64
64,512,1048576,32,5393568.40,11.05
64,512,1048576,64,6585369.26,13.49
64,512,1048576,128,6371757.95,13.05
64,512,1048576,256,5768916.52,11.81
64,640,1048576,1,391727.23,0.80
64,640,1048576,2,1075600.57,2.20
64,640,1048576,4,1427194.27,2.92
64,640,1048576,8,2817439.70,5.77
64,640,1048576,16,4181392.90,8.56
64,640,1048576,32,6102093.87,12.50
64,640,1048576,64,6804428.77,13.94
64,640,1048576,128,6859946.70,14.05
64,640,1048576,256,7053639.32,14.45
64,768,1048576,1,526973.95,1.08
64,768,1048576,2,884958.85,1.81
64,768,1048576,4,1868275.99,3.83
64,768,1048576,8,2803959.68,5.74
64,768,1048576,16,4887223.41,10.01
64,768,1048576,32,6291697.25,12.89
64,768,1048576,64,6901551.33,14.13
64,768,1048576,128,7878047.79,16.13
64,768,1048576,256,6785062.00,13.90
64,896,1048576,1,645310.63,1.32
64,896,1048576,2,787806.13,1.61
64,896,1048576,4,2043078.06,4.18
64,896,1048576,8,2734808.44,5.60
64,896,1048576,16,5029954.43,10.30
64,896,1048576,32,4708385.47,9.64
64,896,1048576,64,8518412.52,17.45
64,896,1048576,128,7962636.20,16.31
64,896,1048576,256,7154690.70,14.65
64,1024,1048576,1,568544.78,1.16
64,1024,1048576,2,882877.38,1.81
64,1024,1048576,4,1914474.11,3.92
64,1024,1048576,8,2637053.92,5.40
64,1024,1048576,16,5000222.60,10.24
64,1024,1048576,32,5639672.86,11.55
64,1024,1048576,64,7728631.81,15.83
64,1024,1048576,128,6927332.81,14.19
64,1024,1048576,256,5976752.77,12.24
128,128,1048576,1,250596.48,1.03
128,128,1048576,2,309674.66,1.27
128,128,1048576,4,563690.60,2.31
128,128,1048576,8,477360.59,1.96
128,128,1048576,16,806754.61,3.30
128,128,1048576,32,1098567.57,4.50
128,128,1048576,64,1547228.48,6.34
128,128,1048576,128,1574908.70,6.45
128,128,1048576,256,1769306.84,7.25
128,256,1048576,1,383938.60,1.57
128,256,1048576,2,227993.14,0.93
128,256,1048576,4,398407.87,1.63
128,256,1048576,8,581067.06,2.38
128,256,1048576,16,1461839.66,5.99
128,256,1048576,32,1153985.01,4.73
128,256,1048576,64,1132379.45,4.64
128,256,1048576,128,2076681.05,8.51
128,256,1048576,256,1693745.05,6.94
128,384,1048576,1,110252.73,0.45
128,384,1048576,2,665662.35,2.73
128,384,1048576,4,494727.00,2.03
128,384,1048576,8,556164.29,2.28
128,384,1048576,16,555978.22,2.28
128,384,1048576,32,971714.08,3.98
128,384,1048576,64,1752425.00,7.18
128,384,1048576,128,1681206.53,6.89
128,384,1048576,256,2080108.32,8.52
128,512,1048576,1,387876.62,1.59
128,512,1048576,2,732242.44,3.00
128,512,1048576,4,1175027.23,4.81
128,512,1048576,8,2131775.75,8.73
128,512,1048576,16,3732596.33,15.29
128,512,1048576,32,5050195.55,20.69
128,512,1048576,64,5238965.52,21.46
128,512,1048576,128,4671031.14,19.13
128,512,1048576,256,5027977.05,20.59
128,640,1048576,1,420331.74,1.72
128,640,1048576,2,836123.90,3.42
128,640,1048576,4,1432197.04,5.87
128,640,1048576,8,2233880.72,9.15
128,640,1048576,16,3058709.06,12.53
128,640,1048576,32,4559600.81,18.68
128,640,1048576,64,5841337.34,23.93
128,640,1048576,128,5016823.25,20.55
128,640,1048576,256,5643839.74,23.12
128,768,1048576,1,403763.27,1.65
128,768,1048576,2,781343.98,3.20
128,768,1048576,4,1605101.24,6.57
128,768,1048576,8,2129208.39,8.72
128,768,1048576,16,3464800.94,14.19
128,768,1048576,32,4915581.86,20.13
128,768,1048576,64,5096749.91,20.88
128,768,1048576,128,6334259.82,25.95
128,768,1048576,256,5605878.94,22.96
128,896,1048576,1,345979.41,1.42
128,896,1048576,2,779346.78,3.19
128,896,1048576,4,1172886.33,4.80
128,896,1048576,8,2201666.01,9.02
128,896,1048576,16,3762905.75,15.41
128,896,1048576,32,3816102.66,15.63
128,896,1048576,64,4896821.96,20.06
128,896,1048576,128,6161772.47,25.24
128,896,1048576,256,5616280.13,23.00
128,1024,1048576,1,345802.89,1.42
128,1024,1048576,2,797986.33,3.27
128,1024,1048576,4,1347854.99,5.52
128,1024,1048576,8,1924353.02,7.88
128,1024,1048576,16,3164496.61,12.96
128,1024,1048576,32,4914875.33,20.13
128,1024,1048576,64,5711607.50,23.39
128,1024,1048576,128,5731381.52,23.48
128,1024,1048576,256,5654033.67,23.16
256,128,1048576,1,209737.22,1.72
256,128,1048576,2,437439.08,3.58
256,128,1048576,4,466418.87,3.82
256,128,1048576,8,580776.68,4.76
256,128,1048576,16,928244.74,7.60
256,128,1048576,32,1831462.75,15.00
256,128,1048576,64,1859932.86,15.24
256,128,1048576,128,3017278.07,24.72
256,128,1048576,256,2776625.43,22.75
256,256,1048576,1,239609.15,1.96
256,256,1048576,2,363253.21,2.98
256,256,1048576,4,484539.70,3.97
256,256,1048576,8,1199173.62,9.82
256,256,1048576,16,1612231.25,13.21
256,256,1048576,32,2078566.04,17.03
256,256,1048576,64,2708705.27,22.19
256,256,1048576,128,2778065.45,22.76
256,256,1048576,256,3160513.43,25.89
