case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_06-47-50,10.375033333333333,10.374996666666666,8,1
2024-10-06_06-48-13,60.996534,66.0477293846154,64,8
2024-10-06_06-48-36,113.56011391666668,113.56304308333334,128,16
2024-10-06_06-48-59,152.24834208333334,152.26660491666667,192,24
2024-10-06_06-49-22,191.42875,191.43787675,256,32
