timestamp,thread_id,connection_num,requests_completed,throughput,gbit_per_second
1.08575,0,0,1895,1880.05,0.0424564
2.08696,0,0,3169,1272.46,0.0284369
3.0887,0,0,4535,1363.63,0.0295912
4.08905,0,0,5777,1241.57,0.026541
5.09001,0,0,7241,1462.6,0.029019
6.09159,0,0,8481,1238.04,0.0275696
7.09246,0,0,9766,1283.88,0.0275176
8.09267,0,0,11030,1263.73,0.0268333
9.0944,0,0,12290,1257.83,0.0272109
10.0947,0,0,13717,1426.54,0.0307428
11.099,0,0,14834,1112.25,0.0245693
12.1003,0,0,16400,1563.98,0.033098
13.1004,0,0,17663,1262.89,0.0274531
14.1034,0,0,19034,1366.87,0.0291736
15.1063,0,0,20259,1221.47,0.0263471
16.1076,0,0,21571,1310.29,0.0282153
17.1079,0,0,23248,1676.42,0.0336565
18.1207,0,0,24569,1304.33,0.0265893
19.1251,0,0,26106,1530.26,0.0328252
1.08575,0,1,1776,1761.99,0.0411926
2.08696,0,1,3399,1621.04,0.0367315
3.0887,0,1,4741,1339.67,0.0297354
4.08905,0,1,6260,1518.47,0.0330534
5.09001,0,1,7919,1657.41,0.0355816
6.09159,0,1,9864,1941.93,0.0389395
7.09246,0,1,11333,1467.72,0.0319435
8.09267,0,1,12963,1629.65,0.0334071
9.0944,0,1,14682,1716.04,0.0342653
10.0947,0,1,16113,1430.54,0.0293353
11.099,0,1,17899,1778.4,0.0373036
12.1003,0,1,19619,1717.78,0.0363635
13.1004,0,1,21477,1857.84,0.0382615
14.1034,0,1,22794,1313.03,0.0280945
15.1063,0,1,24566,1766.89,0.0370262
16.1076,0,1,26422,1853.58,0.0395055
17.1079,0,1,28229,1806.38,0.0370233
18.1207,0,1,30095,1842.45,0.0374311
19.1251,0,1,31951,1847.86,0.0365373
1.08575,0,2,1867,1852.27,0.0365549
2.08696,0,2,3568,1698.94,0.0335456
3.0887,0,2,5396,1824.82,0.0330361
4.08905,0,2,7385,1988.3,0.0375943
5.09001,0,2,9074,1687.38,0.0324072
6.09159,0,2,10825,1748.23,0.031291
7.09246,0,2,12502,1675.54,0.0303976
8.09267,0,2,14440,1937.59,0.0371213
9.0944,0,2,16458,2014.52,0.0378309
10.0947,0,2,18059,1600.48,0.0309742
11.099,0,2,19689,1623.06,0.0293279
12.1003,0,2,21151,1460.12,0.0262522
13.1004,0,2,23091,1939.83,0.0377608
14.1034,0,2,24996,1899.26,0.0357197
15.1063,0,2,27078,2075.99,0.0385792
16.1076,0,2,28785,1704.77,0.0334411
17.1079,0,2,30454,1668.42,0.0320412
