case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_05-08-23,10.4663,10.466425833333334,8,1
2024-10-06_05-08-46,62.939632,68.16207584615384,64,8
2024-10-06_05-09-09,113.85021775,113.85465941666666,128,16
2024-10-06_05-09-32,150.734462,150.7468165,192,24
2024-10-06_05-09-55,186.75763591666666,186.77602090833332,256,32
