case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-04_11-45-24,10.409652711864409,10.410839491525422,8,1
2024-10-04_11-46-29,20.417052372881354,20.41919813559322,16,2
2024-10-04_11-47-34,37.9351227118644,37.940443220338985,32,4
2024-10-04_11-48-39,66.1119817118644,66.15527615254237,64,8
2024-10-04_11-49-44,91.27214372881356,91.29059589830509,96,12
2024-10-04_11-50-49,111.58462266101694,111.65660057627119,128,16
2024-10-04_11-51-54,154.17604381355932,154.23069894915253,192,24
2024-10-04_11-52-59,187.3183382898305,187.80897404915257,256,32
