case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-04_16-46-59,17.87335620689655,17.872057586206896,8,1
2024-10-04_16-47-34,33.12942379310345,33.130905862068964,16,2
2024-10-04_16-48-09,61.4275875862069,61.41888413793103,32,4
2024-10-04_16-48-44,111.41150724137933,111.39067034482758,64,8
2024-10-04_16-49-19,151.95984206896554,151.86861551724138,96,12
2024-10-04_16-49-54,166.5683624827586,166.6151075862069,128,16
2024-10-04_16-50-29,195.73653448275863,195.57331072413794,192,24
2024-10-04_16-51-04,195.7628754137931,195.5719374827586,256,32
