case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-03_10-57-29,18.301158235294118,18.301126078431373,8,1
2024-10-03_10-58-34,36.70043,36.70050549019608,16,2
2024-10-03_11-00-17,68.18377176470588,68.19367058823529,32,4
2024-10-03_11-01-22,121.81463431372548,121.8138188235294,64,8
2024-10-03_11-02-29,170.72804294117645,170.7289674509804,96,12
2024-10-03_11-03-35,190.62818890384614,186.97265484615386,128,16
2024-10-03_11-04-42,195.88867321568628,195.89906713725492,192,24
2024-10-03_11-05-47,195.94033380392156,195.94104329411763,256,32
