case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_10-44-37,14.5072475,14.5128725,8,1
2024-10-06_10-45-00,104.47336,104.47271916666666,64,8
2024-10-06_10-45-47,196.19170858333334,196.20917333333333,192,24
2024-10-06_10-46-10,196.21814883333332,196.23237508333332,256,32
