case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_10-43-05,12.865387692307694,13.92763076923077,4,1
2024-10-06_10-43-28,13.346209230769231,14.460769999999998,8,1
2024-10-06_10-43-51,13.318107692307693,14.43097076923077,12,1
2024-10-06_10-44-14,13.238690461538463,14.341517692307692,16,1
