case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-04_18-24-59,0.45260324210526315,0.4504174052631579,8,1
2024-10-04_18-25-24,3.9587933684210523,3.9282190578947374,96,12
2024-10-04_18-25-50,5.99002983,5.914914635000001,192,24
2024-10-04_18-26-15,8.23749731,8.14168386,256,32
