case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_04-56-35,19.894915,19.8922125,8,1
2024-10-06_04-56-58,116.49319666666668,116.4917325,64,8
2024-10-06_04-57-21,185.27101166666668,185.28752425000002,128,16
2024-10-06_04-57-44,196.07292966666668,196.10208824999998,192,24
2024-10-06_04-58-07,196.08885683333335,196.0926241666667,256,32
