case_timestamp,average_client_throughput_gbit_per_second,average_server_throughput_gbit_per_second,connections_number,thread_number
2024-10-06_05-10-18,10.912439999999998,10.912410833333333,4,1
2024-10-06_05-10-41,75.76920166666666,75.77021583333334,32,8
2024-10-06_05-11-04,119.51284,129.47989076923076,64,16
2024-10-06_05-11-27,171.94712233333334,171.97525900000002,96,24
2024-10-06_05-11-50,194.72168796666665,194.73027959,128,32
